gene	reactome
A6NNZ2	Hemostasis;Neurotransmitter receptors and postsynaptic signal transmission;Transmission across Chemical Synapses;Neuronal System;Developmental Biology;Adaptive Immune System;Translocation of SLC2A4 (GLUT4) to the plasma membrane;Gap junction trafficking and regulation;Signal Transduction;Macroautophagy;Cell Cycle;Disease;Immune System;Organelle biogenesis and maintenance;Gap junction trafficking;Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane;Gap junction assembly;Transport of connexons to the plasma membrane;Signaling by Rho GTPases;RHO GTPase Effectors;ER to Golgi Anterograde Transport;Membrane Trafficking;MHC class II antigen presentation;Cellular responses to stress;Separation of Sister Chromatids;Resolution of Sister Chromatid Cohesion;Mitotic Metaphase and Anaphase;Nuclear Envelope (NE) Reassembly;HSP90 chaperone cycle for steroid hormone receptors (SHR);L1CAM interactions;Recruitment of NuMA to mitotic centrosomes;Metabolism of proteins;Axon guidance;Recycling pathway of L1;Post NMDA receptor activation events;Activation of NMDA receptors and postsynaptic events;Asparagine N-linked glycosylation;Mitotic G2-G2/M phases;Cilium Assembly;RHO GTPases activate IQGAPs;Vesicle-mediated transport;Infectious disease;RHO GTPases Activate Formins;Post-translational protein modification;COPI-mediated anterograde transport;COPI-dependent Golgi-to-ER retrograde traffic;COPI-independent Golgi-to-ER retrograde traffic;Intra-Golgi and retrograde Golgi-to-ER traffic;Mitotic Prometaphase;Mitotic Anaphase;M Phase;G2/M Transition;Cell Cycle, Mitotic;The role of GTSE1 in G2/M progression after G2 checkpoint;Golgi-to-ER retrograde transport;Cellular responses to external stimuli;Carboxyterminal post-translational modifications of tubulin;Transport to the Golgi and subsequent modification;HCMV Infection;HCMV Early Events;Assembly and cell surface presentation of NMDA receptors;Autophagy;Activation of AMPK downstream of NMDARs;Aggrephagy;EML4 and NUDC in mitotic spindle formation;Selective autophagy;Sealing of the nuclear envelope (NE) by ESCRT-III;Nervous system development;Kinesins;Factors involved in megakaryocyte development and platelet production
A6NP11	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A6PVC2	Metabolism of proteins;Post-translational protein modification;Carboxyterminal post-translational modifications of tubulin
A7E2V4	Developmental Biology;Signaling by ROBO receptors;Axon guidance;Regulation of expression of SLITs and ROBOs;Nervous system development
A7KAX9	Signal Transduction;Signaling by Rho GTPases;Rho GTPase cycle
A7MBM2	Signal Transduction;Hedgehog ligand biogenesis;Signaling by Hedgehog;Release of Hh-Np from the secreting cell
A8CG34	ISG15 antiviral mechanism;Antiviral mechanism by IFN-stimulated genes;Cytokine Signaling in Immune system;Metabolism;Transport of the SLBP independent Mature mRNA;Transport of the SLBP Dependant Mature mRNA;Transport of Mature mRNA Derived from an Intronless Transcript;Transport of Mature mRNAs Derived from Intronless Transcripts;Transport of Mature mRNA derived from an Intron-Containing Transcript;HIV Life Cycle;Late Phase of HIV Life Cycle;HIV Infection;Host Interactions of HIV factors;Cell Cycle;Disease;Rev-mediated nuclear export of HIV RNA;Influenza Infection;Immune System;Transport of Ribonucleoproteins into the Host Nucleus;Influenza Viral RNA Transcription and Replication;Export of Viral Ribonucleoproteins from Nucleus;NS1 Mediated Effects on Host Pathways;Viral Messenger RNA Synthesis;NEP/NS2 Interacts with the Cellular Export Machinery;Regulation of Glucokinase by Glucokinase Regulatory Protein;Interactions of Vpr with host cellular proteins;Interactions of Rev with host cellular proteins;Nuclear import of Rev protein;Vpr-mediated nuclear import of PICs;snRNP Assembly;Metabolism of non-coding RNA;Gene Silencing by RNA;Cellular responses to stress;Nuclear Envelope Breakdown;SUMOylation;SUMOylation of DNA damage response and repair proteins;SUMO E3 ligases SUMOylate target proteins;SUMOylation of ubiquitinylation proteins;Nuclear Pore Complex (NPC) Disassembly;Regulation of HSF1-mediated heat shock response;Cellular response to heat stress;Metabolism of proteins;SUMOylation of SUMOylation proteins;SUMOylation of chromatin organization proteins;SUMOylation of RNA binding proteins;SUMOylation of DNA replication proteins;Transcriptional regulation by small RNAs;SLC transporter disorders;Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC);Disorders of transmembrane transporters;Infectious disease;Post-translational protein modification;tRNA processing in the nucleus;Mitotic Prophase;M Phase;Cell Cycle, Mitotic;Glycolysis;Glucose metabolism;Metabolism of carbohydrates;Transport of Mature Transcript to Cytoplasm;Processing of Capped Intron-Containing Pre-mRNA;tRNA processing;Gene expression (Transcription);Metabolism of RNA;Cellular responses to external stimuli;Interferon Signaling;HCMV Infection;HCMV Early Events;HCMV Late Events
A8K0R7	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A8K4G0	Adaptive Immune System;Innate Immune System;Immune System;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;DAP12 interactions
A8K7I4	Stimuli-sensing channels;Transport of small molecules;Ion channel transport
A8K855	Signal Transduction;Signaling by Hedgehog;Hedgehog 'on' state;Activation of SMO
A8K8P3	Cell Cycle;Organelle biogenesis and maintenance;Regulation of PLK1 Activity at G2/M Transition;Loss of Nlp from mitotic centrosomes;Recruitment of mitotic centrosome proteins and complexes;Loss of proteins required for interphase microtubule organization from the centrosome;Centrosome maturation;Recruitment of NuMA to mitotic centrosomes;Mitotic G2-G2/M phases;Cilium Assembly;Anchoring of the basal body to the plasma membrane;Mitotic Prometaphase;M Phase;G2/M Transition;Cell Cycle, Mitotic;AURKA Activation by TPX2
A8K8V0	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A8MPY1	Neurotransmitter receptors and postsynaptic signal transmission;Transmission across Chemical Synapses;Neuronal System;GABA receptor activation
A8MQ27	Signaling by NOTCH;Signal Transduction;Disease;Signaling by NOTCH1;Signaling by NOTCH2;Activated NOTCH1 Transmits Signal to the Nucleus;Signaling by NOTCH1 PEST Domain Mutants in Cancer;Signaling by NOTCH1 in Cancer;Constitutive Signaling by NOTCH1 PEST Domain Mutants;Signaling by NOTCH1 HD Domain Mutants in Cancer;Constitutive Signaling by NOTCH1 HD Domain Mutants;Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer;Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants;NOTCH2 Activation and Transmission of Signal to the Nucleus;Diseases of signal transduction by growth factor receptors and second messengers;Signaling by NOTCH3;NOTCH3 Activation and Transmission of Signal to the Nucleus
A8MT69	Cell Cycle;Deposition of new CENPA-containing nucleosomes at the centromere;Fanconi Anemia Pathway;Chromosome Maintenance;DNA Repair;Nucleosome assembly
A8MTJ3	Hemostasis;Opioid Signalling;G-protein mediated events;PLC beta mediated events;Neurotransmitter receptors and postsynaptic signal transmission;Transmission across Chemical Synapses;Neuronal System;Signal Transduction;Disease;Adenylate cyclase inhibitory pathway;G-protein activation;Peptide hormone metabolism;Signaling by GPCR;Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1);GPCR downstream signalling;Chaperonin-mediated protein folding;Protein folding;ADP signalling through P2Y purinoceptor 12;Metabolism of proteins;Signal amplification;Incretin synthesis, secretion, and inactivation;G alpha (s) signalling events;G alpha (i) signalling events;G alpha (z) signalling events;Infectious disease;Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding;Platelet activation, signaling and aggregation;ESR-mediated signaling;Signaling by Nuclear Receptors;Extra-nuclear estrogen signaling;Leishmania infection;ADORA2B mediated anti-inflammatory cytokines production;Anti-inflammatory response favouring Leishmania parasite infection;Leishmania parasite growth and survival;GABA receptor activation;GABA B receptor activation;Activation of GABAB receptors
A8MTY0	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A8MTY7	Developmental Biology;Keratinization
A8MTZ0	Organelle biogenesis and maintenance;Cilium Assembly;Cargo trafficking to the periciliary membrane;BBSome-mediated cargo-targeting to cilium
A8MUK1	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
A8MUV8	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A8MUX0	Developmental Biology;Keratinization
A8MUZ8	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A8MVA2	Developmental Biology;Keratinization
A8MVS1	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A8MVX0	Signal Transduction;NRAGE signals death through JNK;p75 NTR receptor-mediated signalling;Signaling by Rho GTPases;Rho GTPase cycle;Cell death signalling via NRAGE, NRIF and NADE;Signaling by GPCR;GPCR downstream signalling;G alpha (12/13) signalling events;Death Receptor Signalling
A8MWA4	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A8MX34	Developmental Biology;Keratinization
A8MX76	Degradation of the extracellular matrix;Extracellular matrix organization
A8MXU0	Beta defensins;Defensins;Innate Immune System;Immune System;Antimicrobial peptides
A8MXV4	Metabolism;Peroxisomal lipid metabolism;Metabolism of lipids;Fatty acid metabolism;Peroxisomal protein import;Protein localization
A8MXY4	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A8MXZ3	Developmental Biology;Keratinization
A8MYU2	Fertilization;Sperm Motility And Taxes;Reproduction
A8MYZ6	PIP3 activates AKT signaling;Signal Transduction;Disease;AKT phosphorylates targets in the nucleus;Generic Transcription Pathway;PI3K/AKT Signaling in Cancer;Diseases of signal transduction by growth factor receptors and second messengers;Constitutive Signaling by AKT1 E17K in Cancer;RNA Polymerase II Transcription;Gene expression (Transcription);Intracellular signaling by second messengers;FOXO-mediated transcription;Regulation of localization of FOXO transcription factors;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
A8TX70	Developmental Biology;Collagen degradation;Degradation of the extracellular matrix;Extracellular matrix organization;Collagen formation;Signal Transduction;Collagen biosynthesis and modifying enzymes;Signaling by PDGF;Assembly of collagen fibrils and other multimeric structures;Integrin cell surface interactions;ECM proteoglycans;NCAM signaling for neurite out-growth;NCAM1 interactions;Axon guidance;Collagen chain trimerization;Signaling by Receptor Tyrosine Kinases;Nervous system development
A9QM74	ISG15 antiviral mechanism;Antiviral mechanism by IFN-stimulated genes;Cytokine Signaling in Immune system;Disease;Influenza Infection;Immune System;NS1 Mediated Effects on Host Pathways;Infectious disease;Interferon Signaling
A9YTQ3	Metabolism;PPARA activates gene expression;Biological oxidations;Cytochrome P450 - arranged by substrate type;Phase I - Functionalization of compounds;Endogenous sterols;Xenobiotics;Regulation of lipid metabolism by PPARalpha;Metabolism of lipids;Aryl hydrocarbon receptor signalling
B0YJ81	Metabolism;Metabolism of lipids;Fatty acyl-CoA biosynthesis;Synthesis of very long-chain fatty acyl-CoAs;Fatty acid metabolism
B1NKT1	Antiviral mechanism by IFN-stimulated genes;Cytokine Signaling in Immune system;Immune System;OAS antiviral response;Interferon Signaling
B2RTY4	Signal Transduction;Signaling by Rho GTPases;Rho GTPase cycle
B4DX44	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
B4DXR9	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
B6A8C7	Innate Immune System;Immune System;Neutrophil degranulation
B7ZC32	Hemostasis;Membrane Trafficking;Vesicle-mediated transport;COPI-dependent Golgi-to-ER retrograde traffic;Intra-Golgi and retrograde Golgi-to-ER traffic;Golgi-to-ER retrograde transport;Kinesins;Factors involved in megakaryocyte development and platelet production
C9J2P7	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
C9JJH3	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
C9JLJ4	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
C9JPN9	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
C9JR72	Adaptive Immune System;Immune System;Metabolism of proteins;Post-translational protein modification;Neddylation;Antigen processing: Ubiquitination & Proteasome degradation;Class I MHC mediated antigen processing & presentation
C9JRZ8	Metabolism;Estrogen biosynthesis;Metabolism of steroid hormones;Metabolism of lipids;Metabolism of steroids
C9JVI0	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
D6R901	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
D6R9N7	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
D6RA61	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
D6RBQ6	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
D6RCP7	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
